time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-02T15:32:15.865Z,63.9594,-21.6364,10,4.2,mb,,100,0.802,0.68,us,us6000fsma,2021-10-30T20:53:46.774Z,"16 km NW of Þorlákshöfn, Iceland",earthquake,7.1,1.9,0.118,20,reviewed,us,us
2021-08-11T20:08:14.714Z,63.49,-24.1951,10,4.4,mb,,112,1.782,0.76,us,us6000f4b7,2021-10-23T15:46:05.040Z,"95 km WSW of Grindavík, Iceland",earthquake,8,1.9,0.083,42,reviewed,us,us
2021-08-11T20:06:50.215Z,63.6018,-24.0475,10,4.1,mb,,148,1.656,1.03,us,us6000f8ux,2021-10-23T15:46:55.040Z,"81 km SW of Sandgerði, Iceland",earthquake,11.1,2,0.157,11,reviewed,us,us
2021-08-01T13:03:09.045Z,62.831,-25.2491,10,4.7,mb,,32,2.594,0.41,us,us6000f18f,2021-10-14T01:05:01.040Z,"180 km SW of Grindavík, Iceland",earthquake,7.7,1.8,0.033,284,reviewed,us,us
2021-08-01T12:06:36.206Z,62.8795,-25.1036,10,4.5,mb,,45,2.514,0.62,us,us6000f185,2021-10-14T01:04:59.040Z,"170 km SW of Grindavík, Iceland",earthquake,6.6,1.9,0.071,58,reviewed,us,us
2021-08-01T10:40:27.217Z,62.6943,-25.2607,10,5.2,mww,,56,2.703,0.57,us,us6000f17k,2021-10-14T01:04:57.040Z,"190 km SW of Grindavík, Iceland",earthquake,7.8,1.9,0.069,20,reviewed,us,us
2021-08-01T10:24:03.606Z,62.6556,-24.9527,10,4.3,mb,,137,2.648,0.9,us,us6000f2vm,2021-10-14T01:08:20.040Z,"182 km SW of Grindavík, Iceland",earthquake,9.2,1.9,0.106,25,reviewed,us,us
2021-08-01T10:19:22.766Z,62.833,-25.2941,10,4.5,mb,,100,2.606,0.88,us,us6000f2vl,2021-10-14T01:08:20.040Z,"181 km SW of Grindavík, Iceland",earthquake,9.9,1.9,0.102,28,reviewed,us,us
2021-08-01T10:16:17.059Z,62.8677,-25.2668,10,4.3,mb,,113,2.572,0.64,us,us6000f2vu,2021-10-14T01:08:22.040Z,"178 km SW of Grindavík, Iceland",earthquake,6.6,1.9,0.122,19,reviewed,us,us
2021-08-01T01:25:53.596Z,62.8073,-25.206,10,4.7,mb,,45,2.6,0.92,us,us6000f147,2021-10-14T01:04:40.040Z,"180 km SW of Grindavík, Iceland",earthquake,8.5,1.8,0.035,245,reviewed,us,us
